name,id,release_date,artists,total_tracks,t_name0,t_name1,t_name2,t_dur0,t_dur1,t_dur2,t_dance0,t_dance1,t_dance2,t_energy0,t_energy1,t_energy2,t_key0,t_key1,t_key2,t_mode0,t_mode1,t_mode2,t_speech0,t_speech1,t_speech2,t_acous0,t_acous1,t_acous2,t_ins0,t_ins1,t_ins2,t_live0,t_live1,t_live2,t_val0,t_val1,t_val2,t_tempo0,t_tempo1,t_tempo2,t_sig0,t_sig1,t_sig2,popularity
Első Évtized,52800,2013-12-04,"After Crying, ",26,Modern Idők,Noktürn,Kétség És Remény Közt,457293,115266.0,232600.0,0.634,0.547,0.264,0.605,0.0543,0.108,0.0,1.0,2.0,1.0,0.0,0.0,0.0638,0.0464,0.0318,0.434,0.773,0.972,0.0355,6.440000000000001e-05,0.794,0.11,0.0857,0.109,0.215,0.0563,0.0882,102.109,131.71200000000002,97.269,4.0,4.0,4.0,4
Emerald,115806,2016-02-12,"Veorra, ",7,Secrets,Color,Late Nights,198857,198800.0,174000.0,0.5770000000000001,0.598,0.514,0.8109999999999999,0.804,0.879,5.0,10.0,8.0,0.0,0.0,0.0,0.032,0.122,0.0636,0.0182,0.0167,0.0241,9.66e-05,0.00289,0.0995,0.103,0.246,0.0564,0.181,0.522,0.737,139.984,150.032,160.017,4.0,4.0,4.0,37
Emotions,43955,2020-11-06,"Gautier Capuçon, ",18,Monnot / Orch. Ducros: Hymne à l'amour,"Debussy / Orch. Ducros: Suite bergamasque, CD 82, L. 75: III. Clair de lune","Monti / Transcr. Capuçon, G: Csárdás",221626,293640.0,291840.0,0.147,0.16899999999999998,0.263,0.11,0.0451,0.0768,7.0,2.0,2.0,1.0,1.0,0.0,0.0449,0.0497,0.0614,0.966,0.972,0.888,0.653,0.685,0.244,0.0935,0.113,0.118,0.0766,0.0374,0.156,92.634,83.071,92.245,4.0,3.0,4.0,54
En La Fuga,99740,2017-11-10,"Arsenal Efectivo, ",11,Soy De Ambiente,Vida Peligrosa,Recio Andamos,166256,191784.0,176181.0,0.753,0.708,0.7140000000000001,0.8320000000000001,0.9,0.897,5.0,6.0,11.0,0.0,0.0,0.0,0.0456,0.0865,0.0446,0.586,0.375,0.365,0.0,0.0,3.99e-05,0.0916,0.348,0.315,0.934,0.7659999999999999,0.8440000000000001,110.105,105.868,114.023,3.0,3.0,3.0,53
En Vivo Auditorio Benito Juarez,56152,2015-11-27,"Banda La Ejecutiva de Mazatlan Sinaloa, ",14,Monedita de Oro / Sauce y la Palma / Arriba Tonichi / Polvorón / Muchacho Alegre / Mi Gusto Es - En Vivo,Peligrosa / Pelotero la Bola - En Vivo,Contigo Aprendí - En Vivo,519784,246360.0,152528.0,0.35200000000000004,0.455,0.565,0.865,0.851,0.7859999999999999,10.0,8.0,0.0,1.0,1.0,1.0,0.0986,0.0741,0.0841,0.74,0.597,0.772,0.000469,0.0,0.000202,0.389,0.393,0.406,0.795,0.789,0.8959999999999999,164.62099999999995,157.07299999999995,120.064,3.0,4.0,1.0,40
"En Vivo Con, Vol. 1",68190,2019-12-06,"BXS, ",15,Amor Prohibido - En Vivo,La Ultima Cancion - En Vivo,"Por Que Me Enamore, Tu Traición - En Vivo",240248,268669.0,422635.0,0.366,0.459,0.417,0.708,0.609,0.688,2.0,7.0,2.0,1.0,0.0,1.0,0.0963,0.0734,0.0949,0.174,0.0336,0.171,2.79e-05,0.000129,0.000355,0.236,0.393,0.147,0.645,0.664,0.708,168.528,170.733,167.745,4.0,4.0,4.0,25
En Vivo Desde el Rancho (En vivo),110566,2020-10-05,"Remmy Vlz, ",15,Jardin Olvidado - En vivo,Loco - En vivo,"Chicas en Tanguita, Con Todos Menos Conmigo - En vivo",196675,223346.0,619154.0,0.7140000000000001,0.585,0.633,0.614,0.507,0.67,5.0,4.0,2.0,1.0,0.0,1.0,0.184,0.218,0.0953,0.0529,0.185,0.135,0.00169,5.01e-06,1.6100000000000002e-05,0.691,0.149,0.224,0.528,0.67,0.51,116.627,150.781,116.723,4.0,4.0,4.0,10
Enamoras Y Matas,53794,2017-03-09,"Los De Guamuchil, ",14,Solo Llamenme Pariente,Las Luces Siguen Brillando,El Gallito,124268,186941.0,168925.0,0.7040000000000001,0.624,0.5379999999999999,0.604,0.674,0.599,9.0,9.0,0.0,1.0,1.0,1.0,0.0349,0.0353,0.0487,0.644,0.7020000000000001,0.557,0.0,0.0,5.84e-05,0.111,0.0822,0.13,0.97,0.923,0.949,83.36200000000002,85.036,123.87,4.0,4.0,3.0,40
End of an Empire (Deluxe Edition),17405,2015-11-06,"Celldweller, ",45,End of an Empire,Heart On,Down to Earth,452742,397038.0,416210.0,0.373,0.5870000000000001,0.491,0.922,0.913,0.894,7.0,7.0,0.0,1.0,1.0,1.0,0.0997,0.191,0.101,5.99e-05,0.000176,0.000157,0.00394,0.00396,0.00035800000000000003,0.0484,0.107,0.198,0.133,0.494,0.589,174.97299999999996,130.023,94.002,4.0,4.0,4.0,49
Endless Legend (Original Game Soundtrack),92243,2014-10-24,"Arnaud Roy, ",32,Auriga's Song (Main Title),Terra Amata,The Sharing (Wild Walkers Prologue),200717,285856.0,105181.0,0.0975,0.6,0.525,0.397,0.165,0.494,5.0,8.0,2.0,1.0,1.0,1.0,0.046,0.0343,0.0493,0.7859999999999999,0.965,0.18600000000000005,0.967,0.872,0.885,0.105,0.13699999999999998,0.211,0.17600000000000002,0.104,0.677,175.632,120.124,118.607,4.0,4.0,3.0,43
England Keep My Bones (Deluxe Edition),98956,2011-06-07,"Frank Turner, ",18,Eulogy,Peggy Sang The Blues,I Still Believe,94466,212773.0,225133.0,0.284,0.585,0.618,0.108,0.768,0.85,7.0,0.0,0.0,1.0,1.0,1.0,0.0473,0.0346,0.042,0.674,0.0466,0.0604,4.65e-06,0.0,0.0,0.204,0.101,0.177,0.282,0.638,0.5,148.95600000000005,91.033,99.182,3.0,4.0,4.0,42
English Settlement,30556,1982-02-12,"XTC, ",15,Runaways - 2001 Remaster,Ball And Chain - 2001 Remaster,Senses Working Overtime - Remastered,274533,272533.0,290667.0,0.424,0.5820000000000001,0.68,0.578,0.7440000000000001,0.665,5.0,7.0,0.0,1.0,1.0,1.0,0.0301,0.0336,0.0355,0.000354,0.000458,0.0289,0.232,0.00132,0.0289,0.6,0.0405,0.659,0.619,0.674,0.862,83.12799999999999,133.344,129.899,4.0,4.0,4.0,43
English Vinglish,97617,2012-09-04,"Amit Trivedi, Sunidhi Chauhan, Shilpa Rao, ",6,"English Vinglish (From ""English Vinglish"")",Dhak Dhuk,Manhattan,273866,302080.0,275693.0,0.8,0.698,0.8009999999999999,0.69,0.28800000000000003,0.677,1.0,11.0,8.0,1.0,1.0,1.0,0.0527,0.0394,0.0638,0.0388,0.7859999999999999,0.192,0.00644,0.000621,1.42e-05,0.0478,0.107,0.14400000000000002,0.35700000000000004,0.391,0.7959999999999999,135.026,144.014,130.04,4.0,3.0,4.0,33
Enrique,30921,1999-11-23,"Enrique Iglesias, ",13,Rhythm Divine,Be With You,I Have Always Loved You,209466,220160.0,264010.0,0.622,0.69,0.657,0.97,0.871,0.774,9.0,1.0,11.0,0.0,0.0,1.0,0.156,0.0329,0.0279,0.13,0.0359,0.146,0.0,0.000843,1.36e-06,0.188,0.0347,0.331,0.429,0.561,0.29,102.025,121.984,111.878,4.0,4.0,4.0,54
Enrique Ugarte: Valse Musette De Paris,60620,2000-01-01,"Enrique Ugarte, ",12,Wenn Mademoiselle dich küsst,Sauvageonne,Indiferente,163466,214826.0,216533.0,0.47,0.763,0.591,0.312,0.598,0.611,4.0,9.0,4.0,0.0,0.0,0.0,0.037000000000000005,0.0434,0.0442,0.568,0.397,0.6629999999999999,0.0219,0.477,0.383,0.1,0.0634,0.0546,0.541,0.963,0.967,67.53399999999999,112.021,112.422,4.0,3.0,4.0,45
Eonian,117323,2018-05-04,"Dimmu Borgir, ",10,The Unveiling,Interdimensional Summit,Ætheric,347077,279148.0,327416.0,0.445,0.454,0.272,0.895,0.969,0.967,0.0,1.0,3.0,1.0,0.0,1.0,0.0652,0.0748,0.0982,0.000505,2.18e-05,0.00031,0.138,0.171,0.107,0.325,0.0709,0.306,0.139,0.386,0.203,130.063,140.172,129.578,4.0,3.0,4.0,45
"Epiphany: The Best of Chaka Khan, Vol. 1",52848,1996-11-08,"Chaka Khan, ",16,Ain't Nobody,Papillon (aka Hot Butterfly),Tell Me Something Good (Live) [With Longer Fadeu],280853,247666.0,215373.0,0.8,0.524,0.684,0.878,0.5660000000000001,0.828,1.0,9.0,1.0,1.0,1.0,1.0,0.0434,0.0352,0.0482,0.189,0.317,0.251,0.000104,3.08e-05,0.000737,0.14,0.113,0.797,0.816,0.431,0.944,104.282,91.457,78.968,4.0,4.0,4.0,61
Epsilon,19621,2011-06-30,"Blood Stain Child, ",12,Sirius VI,Forever Free (feat. Ettore Rigotti & Claudio Ravinale),Stargazer,267573,238480.0,261013.0,0.495,0.4970000000000001,0.4370000000000001,0.951,0.944,0.953,8.0,7.0,8.0,1.0,1.0,1.0,0.0908,0.136,0.127,3.19e-05,3.63e-05,0.000145,0.012,0.00446,0.000556,0.0851,0.855,0.14800000000000002,0.439,0.163,0.534,100.008,105.031,75.0,4.0,4.0,4.0,36
Eqqaaniarlugu,73994,2020-12-10,"Piitannguaq Møller, ",12,Qaammatip Nuisup,Asanninnera,Pilluarlunga,302786,223786.0,261466.0,0.672,0.677,0.73,0.948,0.532,0.615,10.0,7.0,5.0,1.0,1.0,1.0,0.0319,0.0247,0.0237,0.43,0.4270000000000001,0.0806,0.0,0.00158,0.000271,0.125,0.129,0.269,0.797,0.35600000000000004,0.4920000000000001,133.012,134.011,109.986,4.0,4.0,4.0,21
Era Cabron El Viejo,101593,1999-01-01,"Luis y Julian, ",10,Era Cabrón El Viejo,Amargura En La Sangre,La Cárcel De Cananea,201546,218493.0,235840.0,0.741,0.491,0.509,0.718,0.677,0.517,6.0,5.0,5.0,1.0,1.0,1.0,0.254,0.326,0.17,0.752,0.8,0.79,1.36e-06,0.0,0.0,0.246,0.0935,0.256,0.89,0.753,0.648,94.802,184.148,171.356,4.0,4.0,4.0,47
Era Vulgaris,67153,2007-01-01,"Queens of the Stone Age, ",11,Turnin On The Screw,"Sick, Sick, Sick",I'm Designer,320360,214733.0,244266.0,0.42,0.403,0.622,0.962,0.988,0.83,1.0,5.0,9.0,1.0,1.0,0.0,0.0583,0.107,0.0734,0.084,0.241,0.214,3.02e-06,0.000785,8.14e-05,0.634,0.5529999999999999,0.077,0.659,0.139,0.508,174.03799999999995,193.018,120.953,4.0,4.0,4.0,53
Eres la Persona Correcta en el Momento Equivocado (Deluxe Edition),2507,2017-03-24,"Río Roma, ",26,Amigos No,"Te Quiero Mucho, Mucho",Eres la Persona Correcta en el Momento Equivocado,245706,221560.0,236013.0,0.498,0.596,0.487,0.6409999999999999,0.674,0.439,2.0,5.0,1.0,1.0,1.0,1.0,0.0362,0.0308,0.0755,0.601,0.389,0.588,0.0,0.0,0.0,0.0935,0.0968,0.107,0.273,0.561,0.324,135.556,107.091,138.599,4.0,4.0,4.0,66
Erf,124447,2019-06-10,"Zygos, ",4,Erf,Nostromo,Agite,226820,219928.0,267428.0,0.7290000000000001,0.794,0.73,0.622,0.55,0.613,8.0,11.0,1.0,1.0,0.0,1.0,0.0458,0.0598,0.0495,0.0425,0.000745,0.000559,0.8170000000000001,0.895,0.866,0.0827,0.104,0.0977,0.0763,0.3720000000000001,0.232,140.004,140.004,140.001,4.0,4.0,4.0,8
Erma Franklin: Piece Of Her Heart - The Epic And Shout Years,58729,2009-02-18,"Erma Franklin, ",26,Big Boss Man,Don't Catch The Dog's Bone,Piece of My Heart,177066,198453.0,157266.0,0.82,0.341,0.467,0.784,0.561,0.7829999999999999,9.0,3.0,8.0,1.0,1.0,1.0,0.0403,0.0521,0.0528,0.187,0.433,0.139,6.7e-06,1.7199999999999998e-05,0.0214,0.0979,0.0876,0.08,0.974,0.279,0.591,119.817,179.99200000000005,160.841,4.0,3.0,4.0,47
Erotica (PA Version),24524,1992-10-20,"Madonna, ",14,Erotica,Fever,Bye Bye Baby,318573,300893.0,236266.0,0.639,0.778,0.757,0.6759999999999999,0.727,0.612,11.0,7.0,11.0,0.0,1.0,0.0,0.061,0.0524,0.0356,0.000576,0.0663,0.000905,0.434,0.0196,0.85,0.26,0.0923,0.0926,0.231,0.5489999999999999,0.431,101.956,115.94,108.619,4.0,4.0,4.0,47
Erxesai kai feugeis,28749,2016-04-04,"Barbaris Giannis, ",9,Stin ano mera,Nisiotikos himonas,Teri allo ego den kano,212333,206000.0,230013.0,0.737,0.616,0.598,0.7929999999999999,0.715,0.725,7.0,1.0,11.0,1.0,0.0,0.0,0.122,0.0638,0.115,0.603,0.579,0.7090000000000001,0.0,0.0,0.0,0.378,0.349,0.241,0.7829999999999999,0.643,0.884,100.052,149.875,160.026,4.0,4.0,4.0,7
Escama,108218,2020-02-29,"VVV [Trippin'you], ",10,Destrucción,Fuego Cruzado,Ataque de Pánico en la Sierra,238333,206500.0,195125.0,0.405,0.4320000000000001,0.472,0.8320000000000001,0.787,0.873,10.0,7.0,5.0,1.0,1.0,0.0,0.917,0.0501,0.265,0.0853,0.00121,0.00924,0.0,0.0594,0.0,0.0751,0.401,0.34600000000000003,0.258,0.564,0.486,180.00799999999995,189.948,140.029,4.0,4.0,4.0,34
Esdeath,124034,2021-06-10,"Genie, ",7,DX,Too Much,Snip Snip,166743,182882.0,144371.0,0.828,0.8390000000000001,0.8190000000000001,0.443,0.467,0.444,5.0,4.0,5.0,1.0,0.0,1.0,0.204,0.268,0.292,0.27,0.29600000000000004,0.338,0.00898,5.87e-06,0.0,0.1,0.126,0.104,0.258,0.515,0.561,95.012,104.974,100.013,4.0,4.0,4.0,3
Esoterik Mollecularuum,68645,2019-10-31,"Odhin, ",5,Esoterik Mollecularuum,Elastic Magick,Pillars Of Infinity,359893,228484.0,132562.0,0.601,0.479,0.374,0.647,0.448,0.443,10.0,7.0,4.0,0.0,1.0,0.0,0.24,0.1,0.0427,0.000273,0.189,0.14,0.0183,2.21e-05,3.06e-06,0.677,0.14400000000000002,0.91,0.299,0.449,0.393,175.976,119.848,117.088,4.0,4.0,3.0,4
Esto Fué Lo Que Trajo El Barco,30182,1972-12-31,"Ismael Rivera, ",10,Yumbo Agua Taña Oh!,Dime Por Qué,La Vaca Lechera,204386,214320.0,186720.0,0.627,0.578,0.679,0.7040000000000001,0.753,0.5770000000000001,7.0,10.0,5.0,1.0,1.0,1.0,0.135,0.0421,0.0396,0.609,0.733,0.61,0.000543,0.0,0.0,0.117,0.278,0.28800000000000003,0.932,0.971,0.8440000000000001,113.417,164.769,105.03,4.0,4.0,4.0,44
Eternal Ride vol.III,55066,2021-07-16,"Ren Avel, ",6,Silhouette (Naruto Shippuden),Kaikai Kitan (Jujutsu Kaisen),Kamado Tanjiro no Uta (Demon Slayer),108642,123809.0,165230.0,0.68,0.7120000000000001,0.7140000000000001,0.631,0.6409999999999999,0.5720000000000001,2.0,3.0,2.0,1.0,1.0,0.0,0.0394,0.0397,0.0278,0.7829999999999999,0.813,0.87,0.879,0.8109999999999999,0.8859999999999999,0.109,0.113,0.121,0.424,0.17,0.238,139.982,126.027,130.011,4.0,4.0,4.0,54
Ethnic Soundscapes,72553,2010-11-10,"TCO, ",10,Wolf's Song,Apache Spirit,Sunset Dance,98509,266296.0,297000.0,0.628,0.601,0.6,0.985,0.8690000000000001,0.8370000000000001,2.0,4.0,4.0,1.0,0.0,0.0,0.18,0.0528,0.109,0.294,0.226,0.268,0.899,0.959,0.454,0.101,0.159,0.0959,0.202,0.615,0.8440000000000001,150.062,100.07,92.001,4.0,4.0,4.0,18
Etincelles,103585,2021-05-19,"DEBSITO, ",6,Tic tac,Bendo,La peste,207616,209454.0,225225.0,0.675,0.768,0.508,0.642,0.674,0.5870000000000001,7.0,3.0,9.0,0.0,0.0,0.0,0.0367,0.0415,0.298,0.16,0.138,0.0575,2.6e-05,0.000123,9.39e-06,0.211,0.13699999999999998,0.128,0.8440000000000001,0.662,0.306,93.862,109.943,72.434,4.0,4.0,3.0,37
Etnica in Dub,86116,2014-12-15,"Etnica, ",8,Vimana in Dub,Deep East - Dub & Rolla Remix,Triptonite Dub,272706,475280.0,372253.0,0.627,0.773,0.302,0.584,0.627,0.919,9.0,0.0,2.0,0.0,1.0,1.0,0.0497,0.0473,0.04,0.0176,0.00424,0.0116,0.89,0.836,0.944,0.627,0.116,0.112,0.518,0.439,0.0995,73.479,150.003,135.003,4.0,4.0,4.0,26
Etrian Odyssey 2 Untold: The Fafnir Knight,38917,2015-01-28,"Yuzo Koshiro, いとうかなこ, ",46,Now Begin Your Adventure!,Cityscape - The Ones Engraved in Legends,Labyrinth I - Primitive Jungle,88053,76200.0,345186.0,0.7070000000000001,0.565,0.331,0.0376,0.387,0.317,7.0,4.0,4.0,1.0,0.0,0.0,0.0451,0.0339,0.0296,0.985,0.604,0.117,0.934,0.893,0.436,0.114,0.696,0.361,0.0572,0.5589999999999999,0.214,124.069,118.082,177.792,4.0,4.0,4.0,20
Etrian Odyssey IV: Legends of the Titan,117537,2012-07-25,"Yuzo Koshiro, ",37,Adventures Across the Sky,Cityscape - Engraved are Names that Echo to the Morrow,Landscape I - Windy Plains,151186,115093.0,366320.0,0.156,0.227,0.384,0.258,0.44,0.201,5.0,10.0,10.0,0.0,1.0,1.0,0.0384,0.0399,0.0341,0.763,0.897,0.924,0.963,0.933,0.133,0.0692,0.202,0.125,0.0372,0.242,0.0393,66.714,99.172,129.791,4.0,4.0,4.0,19
Etta James: The Montreux Years (Live),77490,2021-06-25,"Etta James, ",22,Breakin' Up Somebody's Home - Live – Montreux Jazz Festival 1990,"I Got the Will - Live at Casino Montreux, 12th July 1989",A Lover Is Forever - Live – Montreux Jazz Festival 1993,327693,213040.0,279600.0,0.612,0.662,0.422,0.755,0.871,0.201,9.0,9.0,4.0,1.0,0.0,0.0,0.0515,0.0525,0.0599,0.0212,0.099,0.84,2.31e-05,3.01e-06,1.56e-05,0.987,0.985,0.937,0.708,0.938,0.223,93.929,124.56,84.25399999999998,4.0,4.0,4.0,36
Eudemonic,90548,2005-08-23,"Steve Kimock Band, ",9,Eudemon,Ice Cream,The Bronx Experiment,388160,481733.0,484586.0,0.562,0.57,0.561,0.965,0.82,0.736,2.0,9.0,7.0,1.0,1.0,1.0,0.0347,0.0466,0.0283,0.0708,0.255,0.0978,0.208,0.402,0.9,0.16,0.0875,0.14400000000000002,0.667,0.54,0.355,95.133,138.21,133.805,4.0,4.0,4.0,22
Euphoria,32673,2018-04-06,"Super Yei, ",13,Cuidao - Reggaeton Version,Los Sentimientos los Mate,Punto Final,466449,244044.0,235500.0,0.687,0.736,0.74,0.8540000000000001,0.782,0.85,10.0,6.0,6.0,0.0,0.0,0.0,0.278,0.0772,0.257,0.28,0.28,0.256,0.0,1.89e-06,0.0,0.785,0.0565,0.362,0.742,0.66,0.815,169.99,177.888,159.92700000000005,4.0,4.0,4.0,52
Every Where Is Some Where,5427,2017-04-07,"K.Flay, ",12,Dreamers,Giver,Blood In The Cut,214200,214146.0,188706.0,0.643,0.493,0.77,0.473,0.606,0.655,10.0,5.0,2.0,1.0,0.0,1.0,0.25,0.0401,0.0316,0.494,0.0042,0.118,3.39e-06,0.0104,0.0234,0.255,0.0679,0.125,0.535,0.573,0.639,140.025,175.896,129.964,4.0,4.0,4.0,65
Everything Has Its Echo,97101,2020-03-13,"Eik Octobre, ",7,Rapid Eye Movement,Heart Failure,(Since) You,310041,289829.0,304822.0,0.339,0.121,0.373,0.141,0.0385,0.11,5.0,0.0,1.0,1.0,1.0,1.0,0.0292,0.0363,0.0332,0.959,0.969,0.965,0.943,0.915,0.945,0.102,0.122,0.112,0.142,0.0706,0.158,168.239,188.094,113.811,4.0,3.0,4.0,34
Everything Is Fire,145091,2009-01-01,"Ulcerate, ",8,Drown Within,We Are Nil,Withered And Obsolete,402494,341426.0,370173.0,0.125,0.243,0.168,0.888,0.904,0.888,7.0,6.0,6.0,1.0,0.0,1.0,0.0794,0.123,0.127,9e-06,1.85e-05,1.89e-05,0.923,0.884,0.911,0.0542,0.0902,0.0765,0.102,0.236,0.225,77.93,117.874,99.983,4.0,3.0,4.0,16
Ex:Re,135113,2018-11-30,"Ex:Re, ",10,Where the Time Went,Crushing,New York,250894,248452.0,319608.0,0.5770000000000001,0.472,0.419,0.118,0.516,0.214,6.0,8.0,6.0,1.0,0.0,0.0,0.0308,0.0421,0.0487,0.78,0.0883,0.529,0.479,0.00528,0.000304,0.105,0.0961,0.126,0.267,0.524,0.134,99.635,178.24599999999995,162.056,4.0,3.0,3.0,37
Exactly,130835,2021-04-09,"Autumn!, ",5,Ella Weather!,Nina! 2,Peacoat!,101064,98009.0,132809.0,0.6609999999999999,0.555,0.645,0.623,0.6859999999999999,0.601,10.0,4.0,6.0,0.0,1.0,0.0,0.253,0.11,0.14400000000000002,0.00916,0.754,0.00801,1.8100000000000006e-05,0.0,0.0,0.108,0.3,0.18600000000000005,0.301,0.387,0.411,76.082,160.02700000000004,148.116,4.0,4.0,4.0,40
Exaltate Señor,93509,2008-08-09,"Miel San Marcos, ",10,Somos Tu Pueblo,Exaltate Señor,Mas Los Justos Se Alegraran,378907,291370.0,334786.0,0.488,0.482,0.387,0.8,0.949,0.93,0.0,7.0,0.0,1.0,1.0,1.0,0.0621,0.25,0.128,0.123,0.0581,0.0213,0.0,0.0,0.0,0.687,0.961,0.422,0.5429999999999999,0.362,0.655,104.492,150.649,158.366,4.0,4.0,4.0,35
Excavator & More Vehicle Songs for Kids,72067,2021-05-28,"Blippi, ",24,Buckle Up! Let the Journey Begin!,Scuba Submarine,Motorcycle Madness,35000,148681.0,100519.0,0.73,0.762,0.8340000000000001,0.639,0.607,0.7120000000000001,10.0,0.0,0.0,1.0,1.0,1.0,0.428,0.0434,0.0725,0.518,0.37,0.28,0.0,0.0,0.0,0.134,0.5,0.091,0.86,0.927,0.815,137.733,138.043,102.015,4.0,4.0,4.0,43
Exit Wounds,46229,2021-07-09,"The Wallflowers, ",10,Maybe Your Heart’s Not In It No More,Roots And Wings,I Hear The Ocean (When I Wanna Hear Trains),300847,234694.0,269930.0,0.522,0.5760000000000001,0.639,0.784,0.856,0.821,4.0,7.0,5.0,1.0,1.0,1.0,0.0308,0.0312,0.0279,0.0637,0.0145,0.0878,0.00216,0.0036,5.75e-05,0.147,0.327,0.104,0.682,0.843,0.962,142.221,118.008,124.357,4.0,4.0,4.0,44
Exitos Inolvidables,16203,2013-06-25,"Fito Olivares y Su Grupo, ",26,La Dedicacion,Juana La Cubana,Aguita De Melon,165653,190800.0,185306.0,0.636,0.467,0.7070000000000001,0.852,0.619,0.787,7.0,5.0,4.0,1.0,1.0,1.0,0.0392,0.0359,0.196,0.0196,0.763,0.183,0.0,0.00545,0.0,0.215,0.181,0.136,0.74,0.826,0.956,91.844,176.296,180.857,4.0,4.0,4.0,52
Exoplanet,121234,2021-07-02,"Grmmr.126, ",10,Gabor,Paulwest,Yokota,109367,114295.0,110809.0,0.669,0.609,0.528,0.493,0.416,0.197,0.0,2.0,0.0,1.0,0.0,1.0,0.0722,0.0406,0.0426,0.156,0.748,0.912,0.568,0.693,0.857,0.0925,0.162,0.0885,0.741,0.181,0.153,158.125,84.02,77.987,4.0,4.0,4.0,40
Expectional Music Of Gopi Sundar,135555,2019-05-20,"Gopi Sundar, ",18,Priyathama Priyathama,Inkem Inkem Inkem Kaavaale,Shailaja Reddy Alludu Choode,245885,266715.0,194992.0,0.71,0.8109999999999999,0.802,0.529,0.537,0.8859999999999999,0.0,4.0,3.0,0.0,1.0,0.0,0.0391,0.0478,0.107,0.743,0.412,0.338,0.00577,1.3e-06,0.0,0.183,0.083,0.0724,0.505,0.57,0.883,130.036,136.94299999999998,95.017,4.0,4.0,4.0,49
Exquisite Lounge Piano Album,30055,2021-09-09,"Relaxing Piano Therapy, ",35,Introspection Comfort,Serene Spirit,Deep Artistry,271168,145255.0,169103.0,0.353,0.451,0.477,0.00165,0.0155,0.0113,10.0,5.0,5.0,1.0,1.0,0.0,0.0479,0.0425,0.0518,0.995,0.992,0.992,0.773,0.897,0.649,0.185,0.12,0.207,0.116,0.199,0.15,76.738,101.433,80.828,4.0,4.0,4.0,7
Exrcising a Demon - Article I - A Few Left,93557,2018-09-28,"Bambu, ",14,Uncle Teddy,Blikka Bam,Might Have a Gun,28821,204573.0,78810.0,0.395,0.726,0.54,0.281,0.713,0.45,3.0,7.0,4.0,0.0,0.0,1.0,0.0568,0.451,0.638,0.8959999999999999,0.407,0.963,0.0,0.0,0.0178,0.226,0.298,0.631,0.363,0.454,0.675,140.7,74.999,149.58100000000005,3.0,4.0,5.0,17
Extra Grbg,140863,2021-07-09,"5admin, ",5,Silence,Blue Ferrari,Black Rose,115853,132649.0,158660.0,0.628,0.65,0.542,0.62,0.654,0.507,1.0,0.0,7.0,1.0,1.0,1.0,0.0587,0.0379,0.213,0.0399,0.00244,0.823,0.53,0.768,0.8690000000000001,0.0977,0.265,0.118,0.103,0.16899999999999998,0.111,100.02,110.079,109.994,4.0,4.0,4.0,47
Extra Kxy 2,90643,2020-06-25,"Trxll Wxll, ",5,Better Dayz,Foreign 95,2nd Grade,192051,160443.0,168123.0,0.753,0.816,0.8540000000000001,0.452,0.551,0.621,2.0,1.0,5.0,1.0,0.0,0.0,0.313,0.345,0.199,0.175,0.412,0.238,0.0,0.0,0.0,0.168,0.116,0.0939,0.17600000000000002,0.628,0.485,140.039,119.96,120.16,4.0,4.0,4.0,4
Eya,111848,1998-02-01,"Elida Reyna Y Avante, ",13,Ya Basta,Promesas Falsas,Dime Donde y Cuando,182613,235573.0,266320.0,0.778,0.595,0.772,0.82,0.88,0.8440000000000001,7.0,0.0,1.0,1.0,1.0,1.0,0.123,0.14300000000000002,0.0351,0.0885,0.0935,0.213,1.02e-05,0.0,0.0,0.06,0.301,0.114,0.967,0.962,0.967,178.267,197.56,94.018,4.0,4.0,4.0,25
Eye,127416,2019-02-27,"SEKAI NO OWARI, ",13,LOVE SONG,Blue Flower,ANTI-HERO,239909,191477.0,214377.0,0.721,0.7709999999999999,0.863,0.931,0.755,0.782,8.0,0.0,1.0,0.0,1.0,1.0,0.0451,0.0275,0.0562,0.0427,0.182,0.0277,0.00242,0.856,0.000122,0.28300000000000003,0.124,0.0646,0.8270000000000001,0.7240000000000001,0.627,111.969,107.006,105.027,4.0,4.0,4.0,41
Eye To The Telescope,19134,2005-01-01,"KT Tunstall, ",12,Other Side Of The World,Another Place To Fall,Under The Weather,214560,251440.0,216560.0,0.501,0.503,0.418,0.684,0.645,0.449,2.0,9.0,0.0,1.0,0.0,1.0,0.0302,0.0272,0.0366,0.485,0.00687,0.8740000000000001,0.0,0.0,7.829999999999999e-05,0.083,0.0908,0.113,0.369,0.737,0.29,80.039,91.0,142.379,4.0,4.0,3.0,64
Eza,126346,2017-12-04,"Nina Abdel Malak, ",6,Khallini Bel Jaw,Saken,Insa Elli Rah,272471,211278.0,212950.0,0.696,0.8029999999999999,0.442,0.521,0.645,0.502,1.0,2.0,3.0,0.0,0.0,0.0,0.134,0.108,0.0487,0.648,0.358,0.222,0.0,1.39e-06,0.0,0.112,0.0832,0.125,0.522,0.569,0.8029999999999999,89.90799999999999,100.003,148.207,4.0,4.0,5.0,28
